CITY,STATE,ZIP,AREA_CODE,TIME_ZONE
Daytona Beach,FL,32125,904,E
Daytona Beach,FL,32126,904,E
Daytona Beach,FL,32198,904,E
Daytona Beach Shores,FL,32116,904,E
Daytona Beach Shores,FL,32118,904,E
DeLand,FL,32720,904,E
DeLand,FL,32721,904,E
DeLand,FL,32723,904,E
DeLand,FL,32724,904,E
DeLeon Springs,FL,32130,904,E
Doctors Inlet,FL,32030,904,E
East Palatka,FL,32131,904,E
Edgewater,FL,32132,904,E
Edgewater,FL,32141,904,E
Elkton,FL,32033,904,E
Fernandina Beach,FL,32034,904,E
Fernandina Beach,FL,32035,904,E
Flagler Beach,FL,32136,904,E
Flagler Beach,FL,32151,904,E
Florahome,FL,32140,904,E
Fort White,FL,32038,904,E
Georgetown,FL,32139,904,E
Glen Saint Mary,FL,32040,904,E
Glenwood,FL,32722,904,E
Grandin,FL,32138,904,E
Green Cove Springs,FL,32043,904,E
Hastings,FL,32145,904,E
High Springs,FL,32643,904,E
High Springs,FL,32655,904,E
Hilliard,FL,32046,904,E
